,source,disaster_type,report_dat,tags,Desa,Kecamatan,Kabupaten,Provinsi,long,lat,datetime
3726,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JI"" }",Bulus,Bandung,Tulungagung,Jawa Timur,111.79087,-8.1387,2021-10-04 11:16:20
3740,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-SU"" }",Titi Rantai,Medan Baru,Medan,Sumatera Utara,98.65517,3.5502599999999997,2021-04-20 01:23:50
3741,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 2, ""condition"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JA"" }",Sarolangun Kembang,Sarolangun,Sarolangun,Jambi,102.74856,-2.31232,2021-04-21 03:47:27
3746,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JT"" }",Karangsembung,Nusawungu,Cilacap,Jawa Tengah,109.34988,-7.6828,2021-04-21 06:07:15
3756,grasp,earthquake,"{ ""points"": 1, ""report_type"": ""structure"", ""structureFailure"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JB"" }",Cibabat,Cimahi Utara,Cimahi,Jawa Barat,107.55703000000001,-6.87412,2021-04-26 10:30:59
3758,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 0, ""condition"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JB"" }",Jatikarya,Jatisampurna,Bekasi,Jawa Barat,106.91916,-6.38927,2021-04-27 09:29:44
3759,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JB"" }",Tanjung,Jampang Kulon,Sukabumi,Jawa Barat,106.62116999999999,-7.24564,2021-04-27 10:49:23
3760,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JB"" }",Bantargadung,Bantargadung,Sukabumi,Jawa Barat,106.69373999999999,-6.98782,2021-04-28 00:41:12
3764,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 2, ""condition"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-SB"" }",Jalan Kereta Api,Pariaman Tengah,Pariaman,Sumatera Barat,100.13325,-0.62916,2021-02-05 17:54:20
3765,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-SB"" }",Taratak,Pariaman Tengah,Pariaman,Sumatera Barat,100.1327,-0.62895,2021-02-05 17:55:02
3785,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 0, ""condition"": 2 }","{ ""district_id"": ""3173"", ""local_area_id"": ""509"", ""instance_region_code"": ""ID-JK"" }",Gambir,Gambir,Jakarta Pusat,Daerah Khusus Ibukota Jakarta,106.82727,-6.1754,2021-05-19 15:42:30
3789,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 4, ""condition"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JI"" }",Trawas,Trawas,Mojokerto,Jawa Timur,112.58802,-7.66489,2021-05-23 08:41:36
3801,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JB"" }",Cireunghas,Cireunghas,Sukabumi,Jawa Barat,107.0075,-6.9436800000000005,2021-05-06 12:13:36
