,source,disaster_type,Desa,Kecamatan,Kabupaten,Provinsi,long,lat,datetime,report_type,structureFailure,condition,points,accessabilityFailure
63,grasp,earthquake,Bandengan,Kota Kendal,Kendal,Jawa Tengah,110.21193000000001,-6.90315,2021-06-06 23:33:54,road,-1,1,-1,4
64,grasp,earthquake,Saunulu,Tehoru,Maluku Tengah,Maluku,129.45387,-3.2575,2021-06-16 11:27:44,structure,2,-1,-1,-1
65,grasp,earthquake,Adipala,Adipala,Cilacap,Jawa Tengah,109.146702,-7.6583820000000005,2021-09-08 16:41:40,structure,0,-1,-1,-1
66,grasp,earthquake,Pecatu,Kuta Selatan,Badung,Bali,115.12367238600001,-8.803950791,2021-10-09 00:00:00,structure,0,-1,-1,-1
67,grasp,earthquake,-,-,-,-,126.0186768,0.7742196,2021-11-10 13:24:48,structure,0,-1,-1,-1
68,grasp,earthquake,Kedewatan,Ubud,Gianyar,Bali,115.25465009999999,-8.4786226,2021-10-15 20:32:47,structure,0,-1,-1,-1
69,grasp,earthquake,Karangasem,Karangasem,Karang Asem,Bali,115.6124223,-8.434730199999999,2021-10-16 11:50:18,structure,2,-1,-1,-1
70,grasp,earthquake,Karangasem,Karangasem,Karang Asem,Bali,115.61242460000001,-8.4347306,2021-10-16 11:07:06,structure,1,-1,-1,-1
71,grasp,earthquake,Datah,Abang,Karang Asem,Bali,115.58734059999999,-8.3530194,2021-10-19 07:25:03,road,-1,0,1,1
72,grasp,earthquake,Culik,Abang,Karang Asem,Bali,115.6164237,-8.3427833,2021-10-19 08:35:22,road,-1,0,-1,1
73,grasp,earthquake,Pujungan,Pupuan,Tabanan,Bali,115.0906384,-8.330499,2021-10-19 11:00:32,road,-1,0,2,1
74,grasp,earthquake,Kerta Mandala,Abang,Karang Asem,Bali,115.6120706,-8.3587992,2021-10-19 08:31:37,structure,0,-1,-1,-1
75,grasp,earthquake,Culik,Abang,Karang Asem,Bali,115.61202759999999,-8.3479613,2021-10-19 10:54:38,structure,1,-1,-1,-1
76,grasp,earthquake,Bunutan,Abang,Karang Asem,Bali,115.6692834,-8.3513515,2021-10-19 08:06:39,structure,1,-1,-1,-1
77,grasp,earthquake,Purwakerti,Abang,Karang Asem,Bali,115.6356377,-8.3347765,2021-10-19 09:53:47,structure,0,-1,-1,-1
78,grasp,earthquake,Pujungan,Pupuan,Tabanan,Bali,115.0909518,-8.330300099999999,2021-10-19 12:55:30,structure,2,-1,-1,-1
79,grasp,earthquake,Bunutan,Abang,Karang Asem,Bali,115.6892967,-8.355370599999999,2021-10-19 11:36:35,structure,1,-1,-1,-1
80,grasp,earthquake,Batur Utara,Kintamani,Bangli,Bali,115.3333875,-8.2509465,2021-10-19 12:29:08,structure,1,-1,-1,-1
81,grasp,earthquake,Purwakerti,Abang,Karang Asem,Bali,115.63230790000001,-8.3321822,2021-10-19 10:55:56,structure,0,-1,-1,-1
82,grasp,earthquake,Kerta Mandala,Abang,Karang Asem,Bali,115.61563249999999,-8.3582897,2021-10-19 07:50:09,structure,0,-1,1,-1
83,grasp,earthquake,Ngis,Manggis,Karang Asem,Bali,115.5476601,-8.4597397,2021-10-19 07:10:35,road,-1,2,-1,4
84,grasp,earthquake,Datah,Abang,Karang Asem,Bali,115.5579758,-8.3460293,2021-10-19 07:44:45,road,-1,1,-1,4
85,grasp,earthquake,Bunutan,Abang,Karang Asem,Bali,115.699428,-8.3692473,2021-10-19 09:24:41,road,-1,1,-1,2
86,grasp,earthquake,Terunyan,Kintamani,Bangli,Bali,115.42617050000001,-8.2525563,2021-10-19 12:21:23,structure,1,-1,-1,-1
87,grasp,earthquake,Tri Buana,Abang,Karang Asem,Bali,115.6174994,-8.3862377,2021-10-19 08:08:38,structure,0,-1,-1,-1
88,grasp,earthquake,Tri Buana,Abang,Karang Asem,Bali,115.6175081,-8.386242900000001,2021-10-19 08:10:55,structure,0,-1,-1,-1
89,grasp,earthquake,Kerta Mandala,Abang,Karang Asem,Bali,115.6139912,-8.3501821,2021-10-19 07:45:14,structure,1,-1,-1,-1
90,grasp,earthquake,Kerta Mandala,Abang,Karang Asem,Bali,115.6145436,-8.349580099999999,2021-10-19 06:59:24,road,-1,0,-1,3
91,grasp,earthquake,Laba Sari,Abang,Karang Asem,Bali,115.6145382,-8.3312102,2021-10-19 07:47:29,structure,0,-1,-1,-1
92,grasp,earthquake,Culik,Abang,Karang Asem,Bali,115.61477420000001,-8.3434817,2021-10-19 08:55:08,road,-1,0,-1,4
93,grasp,earthquake,Culik,Abang,Karang Asem,Bali,115.6145382,-8.3468998,2021-10-19 08:05:40,road,-1,1,1,0
94,grasp,earthquake,Pujungan,Pupuan,Tabanan,Bali,115.0906384,-8.330499,2021-10-19 07:12:58,structure,1,-1,4,-1
95,grasp,earthquake,Laba Sari,Abang,Karang Asem,Bali,115.61267140000001,-8.3333758,2021-10-19 07:29:38,road,-1,0,-1,1
96,grasp,earthquake,Takmung,Banjarangkan,Klungkung,Bali,115.3838007,-8.566003,2021-10-19 08:01:52,structure,2,-1,1,-1
97,grasp,earthquake,Petojo Selatan,Gambir,Jakarta Pusat,Daerah Khusus Ibukota Jakarta,106.813906,-6.1803147,2021-10-19 08:15:49,road,-1,2,-1,1
98,grasp,earthquake,Purwakerti,Abang,Karang Asem,Bali,115.62203799999999,-8.34355,2021-10-19 09:12:17,road,-1,0,-1,1
99,grasp,earthquake,Gambir,Gambir,Jakarta Pusat,Daerah Khusus Ibukota Jakarta,106.8271494,-6.175393,2021-10-19 10:43:00,road,-1,1,-1,1
100,grasp,earthquake,Purwakerti,Abang,Karang Asem,Bali,115.6288723,-8.337217299999999,2021-10-19 11:35:14,structure,1,-1,-1,-1
101,grasp,earthquake,Laba Sari,Abang,Karang Asem,Bali,115.621191,-8.3347788,2021-10-19 07:07:16,structure,0,-1,-1,-1
102,grasp,earthquake,Purwakerti,Abang,Karang Asem,Bali,115.64206840000001,-8.3345276,2021-10-19 08:31:21,road,-1,0,-1,1
103,grasp,earthquake,Kerta Mandala,Abang,Karang Asem,Bali,115.62432290000001,-8.3625463,2021-10-19 09:24:51,structure,1,-1,-1,-1
104,grasp,earthquake,Budakeling,Bebandem,Karang Asem,Bali,115.56812520000001,-8.397509699999999,2021-10-19 10:02:24,structure,1,-1,-1,-1
105,grasp,earthquake,Songan B,Kintamani,Bangli,Bali,115.43989270000002,-8.1921556,2021-10-19 12:46:59,structure,2,-1,-1,-1
106,grasp,earthquake,Gambir,Gambir,Jakarta Pusat,Daerah Khusus Ibukota Jakarta,106.82609199999999,-6.1749487,2021-10-19 11:56:50,structure,1,-1,-1,-1
107,grasp,earthquake,Gambir,Gambir,Jakarta Pusat,Daerah Khusus Ibukota Jakarta,106.8277923,-6.1785981,2021-10-19 12:02:07,structure,1,-1,-1,-1
108,grasp,earthquake,Datah,Abang,Karang Asem,Bali,115.5815363,-8.3499994,2021-10-19 12:02:08,structure,1,-1,-1,-1
109,grasp,earthquake,Datah,Abang,Karang Asem,Bali,115.58404679999998,-8.3498508,2021-10-19 12:05:05,structure,1,-1,-1,-1
