,Location,loc,point,lat,lon,altitude
247,"GAYO LUES,ACEH","Gayo Lues, Aceh, Indonesia","(3.97759925, 97.33206765898427, 0.0)",3.97759925,97.33206765898427,0.0
248,"TEGAL,JAWA TENGAH","Tegal, Jawa Tengah, Indonesia","(-7.0562963, 109.13213334397105, 0.0)",-7.0562963,109.13213334397105,0.0
249,"ACEH TENGAH,ACEH","Aceh Tengah, Aceh, 24562, Indonesia","(4.564266999999999, 96.96189262635659, 0.0)",4.564266999999999,96.96189262635659,0.0
250,"PEMALANG,JAWA TENGAH","Pemalang, Jawa Tengah, 52361, Indonesia","(-6.8903574, 109.3806499, 0.0)",-6.8903574,109.3806499,0.0
251,"KOTA TEBING TINGGI,SUMATERA UTARA","Kota Tebing Tinggi, Sumatera Utara, Indonesia","(3.3280819, 99.15652857678585, 0.0)",3.3280819,99.15652857678585,0.0
252,"TANA TORAJA,SULAWESI SELATAN","Tana Toraja, Sulawesi Selatan, 91817, Indonesia","(-3.1169403, 119.6937644, 0.0)",-3.1169403,119.6937644,0.0
253,"BATU BARA,SUMATERA UTARA","Batu Bara, Sumatera Utara, Indonesia","(3.5564885999999998, 99.62844660427132, 0.0)",3.5564885999999998,99.62844660427132,0.0
254,"SERDANG BEDAGAI,SUMATERA UTARA","Serdang Bedagai, Sumatera Utara, Indonesia","(3.5931148, 99.15833092741082, 0.0)",3.5931148,99.15833092741082,0.0
255,"POLEWALI MANDAR,SULAWESI BARAT","Kantor Relawan TIK Indonesia Kabupaten Polewali Mandar, Takatidung, Sulawesi Barat, 91314, Indonesia","(-3.4173234, 119.3195071521956, 0.0)",-3.4173234,119.3195071521956,0.0
256,"PONOROGO,JAWA TIMUR","Ponorogo, Jawa Timur, Indonesia","(-7.97122665, 111.49889293326967, 0.0)",-7.97122665,111.49889293326967,0.0
257,"KOTA TANJUNG BALAI,SUMATERA UTARA","Kota Tanjung Balai, Sumatera Utara, Indonesia","(2.97280325, 99.79461100229092, 0.0)",2.97280325,99.79461100229092,0.0
258,"KOTA BIMA,NUSA TENGGARA BARAT","Bima, Nusa Tenggara Barat, Indonesia","(-8.4534091, 118.727689, 0.0)",-8.4534091,118.727689,0.0
259,"BANYUWANGI,JAWA TIMUR","Banyuwangi, Jawa Timur, Indonesia","(-8.2094973, 114.3737201, 0.0)",-8.2094973,114.3737201,0.0
260,"BATU BARA,SUMATERA UTARA","Batu Bara, Sumatera Utara, Indonesia","(3.5564885999999998, 99.62844660427132, 0.0)",3.5564885999999998,99.62844660427132,0.0
261,"GARUT,JAWA BARAT","Garut, Jawa Barat, 44117, Indonesia","(-7.2162543, 107.9014912, 0.0)",-7.2162543,107.9014912,0.0
262,"BOJONEGORO,JAWA TIMUR","SMP Negeri 1 Dander, Bojonegoro, Jawa Timur, KM 15, Jalan Sumberarum, Sumberarum, Bojonegoro, Jawa Timur, 62171, Indonesia","(-7.2657534, 111.8665345, 0.0)",-7.2657534,111.8665345,0.0
263,"BANGKA,KEPULAUAN BANGKA BELITUNG","Pulau Bangka, Kepulauan Bangka Belitung, Indonesia","(-2.30812445, 106.02815209819913, 0.0)",-2.30812445,106.02815209819913,0.0
264,"MADIUN,JAWA TIMUR","Madiun, Jawa Timur, Indonesia","(-7.61188765, 111.67319262808837, 0.0)",-7.61188765,111.67319262808837,0.0
265,"LANGKAT,SUMATERA UTARA","Langkat, Sumatera Utara, Indonesia","(3.8290501, 98.24827397454335, 0.0)",3.8290501,98.24827397454335,0.0
266,"BARITO SELATAN,KALIMANTAN TENGAH","Anjir Muara Kota Tengah, Barito Kuala, Kalimantan Selatan, Indonesia","(-3.1950351, 114.5433241, 0.0)",-3.1950351,114.5433241,0.0
267,"ROTE NDAO,NUSA TENGGARA TIMUR","Rote Ndao, Nusa Tenggara Timur, Indonesia","(-10.68702915, 123.20843503116711, 0.0)",-10.68702915,123.20843503116711,0.0
268,"NGAWI,JAWA TIMUR","Ngawi, Jalan Raya Paron - Ngawi, Jururejo, Jawa Timur, 63214, Indonesia","(-7.4422521, 111.3869554, 0.0)",-7.4422521,111.3869554,0.0
269,"BOJONEGORO,JAWA TIMUR","SMP Negeri 1 Dander, Bojonegoro, Jawa Timur, KM 15, Jalan Sumberarum, Sumberarum, Bojonegoro, Jawa Timur, 62171, Indonesia","(-7.2657534, 111.8665345, 0.0)",-7.2657534,111.8665345,0.0
270,"ENDE,NUSA TENGGARA TIMUR","Ende, Nusa Tenggara Timur, Indonesia","(-8.672867499999999, 121.69291732410474, 0.0)",-8.672867499999999,121.69291732410474,0.0
271,"KAMPAR,RIAU","Kampar, Kecamatan Langgam, Kabupaten Pelalawan, Riau, Indonesia","(0.2639628, 101.6725898, 0.0)",0.2639628,101.6725898,0.0
272,"ACEH TIMUR,ACEH","Aceh Timur, Aceh, Indonesia","(4.70166295, 97.64503901995158, 0.0)",4.70166295,97.64503901995158,0.0
273,"PENUKAL ABAB LEMATANG ILIR,SUMATERA SELATAN","Penukal Abab Lematang Ilir, Sumatera Selatan, Indonesia","(-3.21399505, 104.0076940890376, 0.0)",-3.21399505,104.0076940890376,0.0
